Date,y_true,y_pred
2020-07-27,4.2177691406975536e-05,8.841243389644299e-05
2020-07-28,0.0001525665519684,7.626168023106894e-05
2020-07-29,1.4117316541664647e-05,7.829595235693911e-05
2020-07-30,5.8388491308738014e-05,7.02002660503565e-05
2020-07-31,5.119921485851559e-05,6.47696895984916e-05
2020-08-03,1.2999075197373909e-05,5.728030206361168e-05
2020-08-04,4.1077337488196216e-05,5.108670933743615e-05
2020-08-05,4.105126384468621e-05,4.526756676273832e-05
2020-08-06,4.004728849144534e-07,4.117770064952292e-05
2020-08-07,7.499192053574828e-06,3.788133071878122e-05
2020-08-10,6.401688753591774e-05,3.433046570810011e-05
2020-08-11,0.0001931961640101,3.1617757227792106e-05
2020-08-12,4.199518501242577e-06,4.909558644343144e-05
2020-08-13,2.9548714847189414e-08,4.746328625042139e-05
2020-08-14,7.323396701686199e-06,4.334931677036965e-05
2020-08-17,5.293406479375537e-06,3.876087250023324e-05
2020-08-18,1.9484484906478647e-05,3.5210458062213536e-05
2020-08-19,9.945538397908335e-06,3.230249550685458e-05
2020-08-20,1.1800598923023288e-05,3.5883426052722794e-05
2020-08-21,9.98723480616022e-05,3.2940031282248e-05
2020-08-24,1.288738018302914e-05,3.060015588683613e-05
2020-08-25,0.0001029007632841,3.054977150755102e-05
2020-08-26,2.7944004556639785e-06,2.8698027966749785e-05
2020-08-27,4.502413824123031e-05,2.9142982657521322e-05
2020-08-28,4.828457661943686e-06,2.733711605052e-05
2020-08-31,5.620248135048818e-05,2.6817094581163198e-05
2020-09-01,0.0002325335302902,2.6904663978960476e-05
2020-09-02,0.0012786055388373,2.6705988392343288e-05
2020-09-03,6.668814135762868e-05,3.092919321975606e-05
2020-09-04,0.0007923565789391,0.0004351948374560138
2020-09-08,0.0003977934778716,0.0003677087494010994
2020-09-09,0.0003147518069853,0.0005443486118175454
2020-09-10,2.840145533988448e-07,0.0004524765249810474
2020-09-11,0.0001603094046159,0.00046008177993167473
2020-09-14,2.710020715418627e-05,0.00036733955868956667
2020-09-15,2.1433630346011187e-05,0.00030191728637076143
2020-09-16,7.136785123696367e-05,0.00024401132807660582
2020-09-17,0.0001264630008895,0.0002035897180357086
2020-09-18,0.0001354561726175,0.0001871443816128992
2020-09-21,0.0001094747121527,0.00019131912414797883
2020-09-22,0.0005763523217496,0.00019741677721199914
2020-09-23,8.898322138948416e-06,0.00016522476573439752
2020-09-24,0.0002512364235996,0.00031421559034770585
2020-09-25,0.0002554304564534,0.0002528006776887806
2020-09-28,2.327370361239767e-05,0.00021580101088530435
2020-09-29,6.756581184895079e-05,0.0001867381876719835
2020-09-30,2.7867308502364265e-05,0.00015900662142515808
2020-10-01,9.261777408692876e-05,0.00013299451923060802
2020-10-02,0.0003173068523492,0.00011051520199731431
2020-10-05,0.0001980229961266,0.00012021107596922445
2020-10-06,0.0002974646581175,0.0001140188161714181
2020-10-07,6.365188099585925e-05,0.00015572780284187193
2020-10-08,7.665169162404271e-05,0.0001412041859311704
2020-10-09,0.0002651207883567,0.0001187534712180516
2020-10-12,4.002955768717285e-05,0.00010160728295114925
2020-10-13,4.415831202676608e-05,9.6984178122892e-05
2020-10-14,2.3376071123136633e-06,9.31911459113234e-05
2020-10-15,1.820083130815996e-08,9.151163868120738e-05
2020-10-16,0.0002710851446602,7.722316974057636e-05
2020-10-19,2.2242498296393092e-05,6.518695696198013e-05
2020-10-20,4.8317052078598526e-06,0.00013956930075453746
2020-10-21,2.709571030166536e-05,0.00011561983289032891
2020-10-22,1.1832487670418672e-05,9.71797194682423e-05
2020-10-23,0.0003521054464168,8.235204124426678e-05
2020-10-26,9.182144465876022e-06,6.989516994286983e-05
2020-10-27,0.0012906445757951,0.00016754861810239812
2020-10-28,0.0001410518446503,0.00013966695368118888
2020-10-29,0.000148930621854,0.000518443459999347
2020-10-30,0.0001498898465094,0.0004201475640245256
2020-11-02,0.0003112661929891,0.00038280480225455575
2020-11-03,0.0004755681751974,0.00031406755805898977
2020-11-04,0.0003714587736993,0.0002672003581730559
2020-11-05,8.280385242613576e-08,0.0002375878923175396
2020-11-06,0.0001353028364995,0.0002093861905412185
2020-11-09,1.96217121939596e-06,0.00016993654973198775
2020-11-10,5.81059876959719e-05,0.00014488377199067562
2020-11-11,0.0001005738518525,0.00011933146508341874
2020-11-12,0.0001827511050502,0.00010115229375041357
2020-11-13,0.0001341134213529,0.00011548716382184372
2020-11-16,2.3073072192265272e-05,0.00010387952111577937
2020-11-17,0.000135285061126,9.248960962093849e-05
2020-11-18,1.5513166196773925e-05,8.446438981976915e-05
2020-11-19,4.6454275936613354e-05,0.0001130930213383317
2020-11-20,3.1585615975693477e-05,9.440591467842437e-05
2020-11-23,0.0002570397356236,9.331801191542248e-05
2020-11-24,2.514364430263361e-06,7.946019087595682e-05
2020-11-25,5.731767604345693e-06,7.864603643876741e-05
2020-11-27,2.1216531567574644e-05,6.718495005597303e-05
2020-11-30,0.00012562241709,5.757838830747468e-05
2020-12-01,3.2025412020373135e-06,5.6301075525015754e-05
2020-12-02,3.898155201674309e-07,5.4345437663988535e-05
2020-12-03,7.739536782002547e-05,4.729464888367271e-05
2020-12-04,3.753958326166451e-06,4.1678994894666294e-05
2020-12-07,7.746598406708557e-06,4.059778751106389e-05
2020-12-08,6.369580150875466e-05,3.742238113881276e-05
2020-12-09,1.6536276097157204e-06,3.408588093321415e-05
2020-12-10,1.6022447900445454e-06,5.0945981954361066e-05
2020-12-11,1.9086310730933375e-05,4.5002931589552076e-05
