Date,y_true,y_pred
2021-02-24,0.0006142166391841,4.0832866494512214e-05
2021-02-25,2.2672189784887047e-05,5.781091997011608e-05
2021-02-26,0.000552822289795,0.00015508511126164653
2021-03-01,6.583178268795802e-05,0.00013326065771757746
2021-03-02,0.0001729839394896,0.000207203090174569
2021-03-03,0.000182467092349,0.00018328049389390927
2021-03-04,0.0003728126245026,0.00018236238749957107
2021-03-05,2.8876041499117e-05,0.00018323393361130124
2021-03-08,0.0001975542900725,0.00021700833070015113
2021-03-09,3.614659418387953e-05,0.00018488518156792557
2021-03-10,0.000106953354686,0.00018788554033398876
2021-03-11,1.0299881685016838e-06,0.00016241052955390866
2021-03-12,4.187305852274601e-05,0.0001538151563873973
2021-03-15,2.467780153644722e-06,0.00012851579740753548
2021-03-16,8.267031798269119e-06,0.00011484898022156564
2021-03-17,0.0002211335566749,9.683514114350738e-05
2021-03-18,3.634711356174063e-07,8.305647310139715e-05
2021-03-19,4.900779688692691e-05,0.00010876369121419927
2021-03-22,5.8677409602153865e-05,9.159641566159611e-05
2021-03-23,3.005601459951798e-05,8.590562993435977e-05
2021-03-24,2.731717437926999e-05,8.291473175337221e-05
2021-03-25,0.000272065846889,7.553997142077303e-05
2021-03-26,7.541005432162074e-07,6.903149450055823e-05
2021-03-29,1.0003489874546708e-05,0.0001057601251515153
2021-03-30,1.307512038254198e-05,8.92825583020647e-05
2021-03-31,0.0001381995490442,7.738222477385632e-05
2021-04-01,0.0002054918741436,6.815311165169941e-05
2021-04-05,9.486856246976632e-07,8.197369154281693e-05
2021-04-06,2.1731055392496624e-06,0.00010477892012262335
2021-04-07,1.7738845985571112e-05,8.853987228767051e-05
2021-04-08,5.9140531609902854e-05,7.547663825104805e-05
2021-04-09,3.8454454916809894e-08,6.741443629147486e-05
2021-04-12,1.0817993812487155e-05,6.784859080140201e-05
2021-04-13,1.6778070606306054e-05,5.815539901081124e-05
2021-04-14,0.0001217293265273,5.202918517226457e-05
2021-04-15,1.297673380986528e-05,4.8019979247316104e-05
2021-04-16,2.8309740945532627e-05,6.262777759433348e-05
2021-04-19,4.658828303404179e-05,5.608918539335344e-05
2021-04-20,8.58035565616381e-05,5.3323641268790914e-05
2021-04-21,8.56242615615773e-05,5.415259508004064e-05
2021-04-22,0.000118144071477,6.147673156061853e-05
2021-04-23,3.1708375185438376e-06,6.745209996173865e-05
2021-04-26,4.6190168585494795e-08,7.789090056392725e-05
2021-04-27,7.155427283630394e-07,6.691046776685663e-05
2021-04-28,4.542815991648983e-05,5.7412427882938274e-05
2021-04-29,5.213870225219355e-05,4.9742982112045944e-05
2021-04-30,7.531301315981449e-06,5.1011966316189375e-05
2021-05-03,4.489988290784565e-05,5.318223709981448e-05
2021-05-04,4.9451337149182e-07,4.742613684637368e-05
2021-05-05,6.613429513544903e-05,4.9015090424995214e-05
2021-05-06,5.396799761562823e-05,4.282134166477901e-05
2021-05-07,0.0001100501811867,4.882718275217599e-05
2021-05-10,7.589459053282987e-05,5.1687513674036576e-05
2021-05-11,0.0004701430507975,6.351661405224272e-05
2021-05-12,0.0001464013989161,6.745199146745382e-05
