Date,RF
2020-01-23,5.7177076765614364e-05
2020-01-24,5.7177076765614364e-05
2020-01-27,6.417366981935878e-05
2020-01-28,0.00010033606091713156
2020-01-29,7.317396720777398e-05
2020-01-30,9.69486809931645e-05
2020-01-31,7.692830433707009e-05
2020-02-03,0.00014486313733337561
2020-02-04,6.799305132577624e-05
2020-02-05,0.00010266055629185089
2020-02-06,7.20050082369554e-05
2020-02-07,8.864902536368442e-05
2020-02-10,7.078002400691871e-05
2020-02-11,5.952487154814044e-05
2020-02-12,5.765929066996314e-05
2020-02-13,5.7177076765614364e-05
2020-02-14,5.7177076765614364e-05
2020-02-18,5.7177076765614364e-05
2020-02-19,5.7177076765614364e-05
2020-02-20,5.7177076765614364e-05
2020-02-21,5.760228937997446e-05
2020-02-24,9.77228817788463e-05
2020-02-25,0.0002934716833182733
2020-02-26,0.00031040802545675414
2020-02-27,0.00020346919910212895
2020-02-28,0.0007250097148299634
2020-03-02,0.0009263071161960116
2020-03-03,0.0003598804420851924
2020-03-04,0.00032343085640973814
2020-03-05,0.00038042311029414986
2020-03-06,0.0006746651307137651
2020-03-09,0.0003167531070546643
2020-03-10,0.0025954376674623882
2020-03-11,0.0018066906186796731
2020-03-12,0.0027228192952065697
2020-03-13,0.0025522996373299476
2020-03-16,0.0021137156005326735
2020-03-17,0.0025370514831815198
2020-03-18,0.0022144076191727554
2020-03-19,0.002779206667844045
2020-03-20,0.0013279132641156697
2020-03-23,0.0008301555794681931
2020-03-24,0.0009603325538494944
2020-03-25,0.0017260130676771757
2020-03-26,0.0005402481798718865
2020-03-27,0.001788527571063213
2020-03-30,0.0007569873375161843
2020-03-31,0.0004094639267459409
2020-04-01,0.000483518358836167
2020-04-02,0.0005621384191296062
2020-04-03,0.0008954800761204298
2020-04-06,0.00029700109440006917
2020-04-07,0.0018685631487839478
2020-04-08,0.0005783099204012935
2020-04-09,0.00021832056817903234
2020-04-13,0.0007611551593607751
2020-04-14,0.00038206522892466515
2020-04-15,0.00022356969325504263
2020-04-16,0.000213016951144561
2020-04-17,0.00017706605089832744
2020-04-20,0.00040452522078147815
2020-04-21,0.0001781536891213142
2020-04-22,0.0005252808596569541
2020-04-23,0.00024796768272787763
2020-04-24,0.00019861221224225646
2020-04-27,0.00023834780167729196
2020-04-28,0.00010908874990679256
2020-04-29,9.791762527416525e-05
2020-04-30,0.00014711445624597644
2020-05-01,0.000107774371063513
2020-05-04,0.00030890530969427814
2020-05-05,9.365536724455017e-05
2020-05-06,0.00018415710178718462
2020-05-07,7.19326198495677e-05
2020-05-08,9.210412206401224e-05
2020-05-11,6.577344092665446e-05
2020-05-12,7.957319621325242e-05
2020-05-13,0.00020010720004915748
2020-05-14,0.00012130285468996122
2020-05-15,0.00018090397438485234
2020-05-18,0.0001372325051689917
2020-05-19,0.0001673067457155673
2020-05-20,0.00010204939550179162
2020-05-21,0.0001329843433988433
2020-05-22,0.00012459936756185186
2020-05-26,8.291539280701616e-05
2020-05-27,7.372224582512035e-05
2020-05-28,6.0997144525045285e-05
2020-05-29,6.335862051086537e-05
2020-06-01,7.465164269568332e-05
2020-06-02,6.678835277248872e-05
2020-06-03,5.9967407798395045e-05
2020-06-04,5.759135921404079e-05
2020-06-05,8.720397643491431e-05
2020-06-08,0.00018107318908895057
2020-06-09,6.857362174694807e-05
2020-06-10,0.00015560559313930635
2020-06-11,0.0001871598315058194
2020-06-12,0.0023765261641738172
2020-06-15,0.001306934091619177
2020-06-16,0.0001522745485512292
2020-06-17,0.0003488586118931315
2020-06-18,0.0003413106993828028
2020-06-19,0.00016148426276996747
2020-06-22,6.903343678111556e-05
2020-06-23,5.927070975368005e-05
2020-06-24,8.374111539423796e-05
2020-06-25,0.00021510797970444523
2020-06-26,8.244735126742516e-05
2020-06-29,0.00037397175579130385
2020-06-30,9.147864514125095e-05
2020-07-01,0.0002028981427012418
2020-07-02,8.615396584037111e-05
2020-07-06,0.00011383754184230726
2020-07-07,6.794674242442316e-05
2020-07-08,7.213718892332562e-05
2020-07-09,7.712167365278362e-05
2020-07-10,9.295773440405384e-05
2020-07-13,6.0425927558186595e-05
2020-07-14,6.671647621264193e-05
2020-07-15,6.404154321268904e-05
2020-07-16,6.70056768612748e-05
2020-07-17,6.131870592917271e-05
2020-07-20,6.121607378275592e-05
2020-07-21,5.7177076765614364e-05
2020-07-22,5.759135921404079e-05
2020-07-23,5.8964927832721745e-05
2020-07-24,8.148035765622583e-05
2020-07-27,6.59097340622939e-05
2020-07-28,8.465481915016997e-05
2020-07-29,6.196937642852874e-05
2020-07-30,6.0274885089020906e-05
2020-07-31,6.171877648471284e-05
2020-08-03,6.004210917519621e-05
2020-08-04,5.891836542083906e-05
2020-08-05,5.7177076765614364e-05
2020-08-06,5.7177076765614364e-05
2020-08-07,5.7177076765614364e-05
2020-08-10,5.7177076765614364e-05
2020-08-11,5.7177076765614364e-05
2020-08-12,6.075832172836904e-05
2020-08-13,6.0818864052514934e-05
2020-08-14,6.528437682606846e-05
2020-08-17,5.986761212767419e-05
2020-08-18,6.222481607907589e-05
2020-08-19,5.7177076765614364e-05
2020-08-20,5.7177076765614364e-05
2020-08-21,5.754196838347607e-05
2020-08-24,5.765929066996314e-05
2020-08-25,5.7177076765614364e-05
2020-08-26,5.9413923601911573e-05
2020-08-27,5.739180753104935e-05
2020-08-28,5.9413923601911573e-05
2020-08-31,5.828771860396784e-05
2020-09-01,5.7177076765614364e-05
2020-09-02,6.0546067165074696e-05
2020-09-03,8.856128124584711e-05
2020-09-04,0.00021317734057134228
2020-09-08,0.00011875497899778553
2020-09-09,0.0005189714200358128
2020-09-10,0.00012156197185750415
2020-09-11,0.000321414132175986
2020-09-14,0.00013164289454786418
2020-09-15,0.00015295324201623886
2020-09-16,7.20050082369554e-05
2020-09-17,7.891164220381585e-05
2020-09-18,6.318344711714926e-05
2020-09-21,7.274096671213971e-05
2020-09-22,8.152837115392817e-05
2020-09-23,0.00010428367738695457
2020-09-24,0.00017619426093844426
2020-09-25,7.110665026253564e-05
2020-09-28,0.00014598792302089584
2020-09-29,7.491762536910645e-05
2020-09-30,9.818757764382729e-05
2020-10-01,8.473067557293888e-05
2020-10-02,6.832952925880966e-05
2020-10-05,6.616726713532088e-05
2020-10-06,6.768674384655528e-05
2020-10-07,9.912857985290484e-05
2020-10-08,8.650554447610414e-05
2020-10-09,9.401154851591435e-05
2020-10-12,9.196073803237447e-05
2020-10-13,7.980041540670638e-05
2020-10-14,6.066808514880555e-05
2020-10-15,7.128191431032199e-05
2020-10-16,7.098405699574803e-05
2020-10-19,6.681375035704875e-05
2020-10-20,9.166069386310287e-05
2020-10-21,6.620787346711313e-05
2020-10-22,0.00010010183940659371
2020-10-23,6.914234612689713e-05
2020-10-26,8.091252830403477e-05
2020-10-27,9.25668373051807e-05
2020-10-28,9.574752270311666e-05
2020-10-29,0.0006004889701443951
2020-10-30,9.035711748534627e-05
2020-11-02,0.0002534922496153191
2020-11-03,0.00011468172385790368
2020-11-04,0.00014100574774406763
2020-11-05,0.00010399977277899268
2020-11-06,0.000103885823756657
2020-11-09,0.00014018607633189652
2020-11-10,0.00013728497686523627
2020-11-11,7.334827930094175e-05
2020-11-12,6.260016407975586e-05
2020-11-13,6.784240362678577e-05
2020-11-16,6.558752273330507e-05
2020-11-17,7.207590015285654e-05
2020-11-18,6.535640215092103e-05
2020-11-19,7.535634135593461e-05
2020-11-20,6.656864787931282e-05
2020-11-23,8.035653639973844e-05
2020-11-24,6.278502092315477e-05
2020-11-25,6.126258577357171e-05
2020-11-27,6.066808514880555e-05
2020-11-30,6.974635154360314e-05
2020-12-01,6.96655577802467e-05
2020-12-02,5.754196838347607e-05
2020-12-03,6.102319493772213e-05
2020-12-04,5.986761212767419e-05
2020-12-07,5.765843278843751e-05
2020-12-08,5.7834514780881105e-05
2020-12-09,5.7177076765614364e-05
2020-12-10,5.73893313289087e-05
2020-12-11,6.269303694348446e-05
2020-12-14,6.183682948335122e-05
2020-12-15,6.019092816248429e-05
2020-12-16,5.754196838347607e-05
2020-12-17,6.102319493772213e-05
2020-12-18,5.986761212767419e-05
2020-12-21,5.981197366867519e-05
2020-12-22,5.7177076765614364e-05
2020-12-23,5.7351573813136384e-05
2020-12-24,5.748173867524234e-05
2020-12-28,5.7177076765614364e-05
2020-12-29,5.7177076765614364e-05
2020-12-30,5.7834514780881105e-05
2020-12-31,5.7177076765614364e-05
2021-01-04,6.0546067165074696e-05
2021-01-05,9.367300434250662e-05
2021-01-06,6.59097340622939e-05
2021-01-07,9.533181202370159e-05
2021-01-08,6.835624958388804e-05
2021-01-11,7.506941214127165e-05
2021-01-12,6.619186287040617e-05
2021-01-13,6.950973455528059e-05
2021-01-14,5.835487221695386e-05
2021-01-15,5.7177076765614364e-05
2021-01-19,5.75638283764307e-05
2021-01-20,6.162980311864819e-05
2021-01-21,6.159878948925045e-05
2021-01-22,6.066808514880555e-05
2021-01-25,5.986761212767419e-05
2021-01-26,6.222481607907589e-05
2021-01-27,0.0001367699015581722
2021-01-28,0.00024437221228036855
2021-01-29,7.38231420734382e-05
2021-02-01,0.00019510261214834254
2021-02-02,8.762994037933142e-05
2021-02-03,0.00019230204915173297
2021-02-04,9.075534351731576e-05
2021-02-05,0.00010493654286776121
2021-02-08,6.582081546243251e-05
2021-02-09,6.260016407975586e-05
2021-02-10,5.765843278843751e-05
2021-02-11,5.7177076765614364e-05
2021-02-12,5.7177076765614364e-05
2021-02-16,5.7177076765614364e-05
2021-02-17,5.7177076765614364e-05
2021-02-18,5.7177076765614364e-05
2021-02-19,5.7177076765614364e-05
2021-02-22,5.754196838347607e-05
2021-02-23,5.787154523325749e-05
2021-02-24,6.040244316784261e-05
2021-02-25,8.333982960652844e-05
2021-02-26,0.0001823820717259792
2021-03-01,8.513788662948497e-05
2021-03-02,0.00021323603431059536
2021-03-03,7.679094730449148e-05
2021-03-04,0.0002575728830204228
2021-03-05,0.00011830935242906684
2021-03-08,0.00010528158074776486
2021-03-09,9.034243070761897e-05
2021-03-10,0.0001389023418880834
2021-03-11,8.216841664203107e-05
2021-03-12,6.260016407975586e-05
2021-03-15,6.6436081170143e-05
2021-03-16,6.103939455869505e-05
2021-03-17,5.7177076765614364e-05
2021-03-18,6.0546067165074696e-05
2021-03-19,9.458775509954362e-05
2021-03-22,6.59097340622939e-05
2021-03-23,9.732721608196624e-05
2021-03-24,6.823944477094266e-05
2021-03-25,7.428500811637195e-05
2021-03-26,6.562874931574758e-05
2021-03-29,5.853397327336132e-05
2021-03-30,6.0966224553624785e-05
2021-03-31,7.04593216611582e-05
2021-04-01,7.09226437127779e-05
2021-04-05,5.9967407798395045e-05
2021-04-06,6.0997144525045285e-05
2021-04-07,6.335862051086537e-05
2021-04-08,6.405753990018097e-05
2021-04-09,6.647830205774757e-05
2021-04-12,5.7177076765614364e-05
2021-04-13,5.7177076765614364e-05
2021-04-14,5.7177076765614364e-05
2021-04-15,5.78009813935937e-05
2021-04-16,5.7351573813136384e-05
2021-04-19,6.102319493772213e-05
2021-04-20,5.986761212767419e-05
2021-04-21,5.8921611101022176e-05
2021-04-22,5.9752923658028826e-05
2021-04-23,6.525929170836659e-05
2021-04-26,6.196367104276086e-05
2021-04-27,6.731432070600732e-05
2021-04-28,6.0541473909357587e-05
2021-04-29,5.765843278843751e-05
2021-04-30,5.7177076765614364e-05
2021-05-03,5.73893313289087e-05
2021-05-04,5.927070975368005e-05
2021-05-05,6.118450704082403e-05
